GENEID	MUTSAMPLES	ZSCOREEXT	QVEXT	ZSCOREPOOLED	PVPOOLED	ZSCORECOSMIC	PVCOSMIC	ZSCOREINT	PVINT	PROJECTID
ENSG00000115616	2	2.33535925897685	0.0248781958064516	1.31896644448599	0.09359017	0.775743415853903	0.2189502	0.687613698926012	0.245848	breastJHU
ENSG00000115677	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000116171	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000116254	3	-	-	-	-	-	-	-	-	breastJHU
ENSG00000116299	-	-	-	-	-	-	-	-	-	breastJHU
ENSG00000116337	2	-	-	-	-	-	-	-	-	breastJHU
ENSG00000116711	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000116824	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000116906	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000117054	2	2.86720295911519	0.0077893510952381	1.23133060318924	0.1090996	0.850119512815837	0.1976293	0.787383840689018	0.2155286	breastJHU
ENSG00000117090	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000117410	-	-	-	-	-	-	-	-	-	breastJHU
ENSG00000117480	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000117594	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000117758	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000118156	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000118197	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000119203	2	3.7452050623219	0.001423947192	1.7245148426254	0.04230747	1.46149649750884	0.07193962	1.4277577606664	0.0766808	breastJHU
ENSG00000119421	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000119866	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000119929	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000119986	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000120156	-	-	-	-	-	-	-	-	-	breastJHU
ENSG00000120318	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000120688	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000120800	2	0.591382293270998	0.336822212307692	-0.17383776973067	0.5690035	-0.88977430228534	0.8132065	-0.970998455427394	0.8342255	breastJHU
ENSG00000120907	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000122696	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000123977	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000124120	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000124181	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000124198	2	3.50181838126725	0.00260753268571429	1.81515235893263	0.03475025	1.5126556692686	0.06518357	1.43457948302818	0.07570348	breastJHU
ENSG00000124731	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000124831	2	3.26468978343038	0.00309183485	1.61502356156633	0.0531528	1.204325827342	0.1142318	1.11265630910907	0.132928	breastJHU
ENSG00000124882	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000125247	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000125447	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000125731	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000125945	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000126432	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000126522	2	2.0754068030932	0.0428279765714286	0.656785479329073	0.2556594	0.0217994797607469	0.491304	0.0697696007586812	0.4721885	breastJHU
ENSG00000126759	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000126777	2	1.38549338462843	0.1310623114	0.443101456929085	0.3288462	-0.251627874641267	0.5993356	-0.309153196468397	0.6213975	breastJHU
ENSG00000126883	3	0.939164903172441	0.236758913793103	0.351801013084115	0.3624937	-0.600800064235264	0.7260134	-0.695341888062059	0.7565795	breastJHU
ENSG00000126895	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000127481	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000127603	3	2.92197125747723	0.0068695161	1.66700251957386	0.04775695	1.0295812806133	0.1516033	0.893640854633967	0.185757	breastJHU
ENSG00000127666	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000127914	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000128340	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000128573	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000129152	2	2.07324283218074	0.0418586766666667	0.698490434510896	0.2424353	0.100614088502825	0.4599284	0.0905547956674257	0.4639232	breastJHU
ENSG00000129219	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000130037	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000130052	2	-0.584191534957913	0.739167398701299	-0.815528108727866	0.792615	-1.95011870055437	0.97441901	-1.92912970293804	0.97314262	breastJHU
ENSG00000130779	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000130943	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000130962	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000131482	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000131495	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000131969	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000132128	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000132356	-	-	-	-	-	-	-	-	-	breastJHU
ENSG00000132376	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000132549	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000132603	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000132623	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000132703	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000132749	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000133107	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000133124	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000133477	-	-	-	-	-	-	-	-	-	breastJHU
ENSG00000134030	2	0.832367044395508	0.262384772131148	0.314925716671229	0.376409	-0.439637653420739	0.6699002	-0.53590114620171	0.7039866	breastJHU
ENSG00000134115	2	2.42950612428114	0.0213291676785714	1.10522809338741	0.1345304	0.583051367317364	0.2799294	0.541143320481112	0.2942044	breastJHU
ENSG00000134215	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000134283	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000134389	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000134668	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000134709	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000135100	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000135439	2	0.12492820955946	0.487300353424658	-0.344584739114139	0.6347967	-1.23134010218997	0.8909022	-1.29305939350054	0.90200474	breastJHU
ENSG00000135596	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000135636	2	3.08648875738946	0.00470597423529412	1.234938812566	0.1084266	0.848196976570023	0.1981641	0.802765890435397	0.211055	breastJHU
ENSG00000135899	2	0.472608694200433	0.369727202941176	0.00496340635777756	0.4980199	-0.745441006363445	0.7719974	-0.865754074968323	0.8066875	breastJHU
ENSG00000135902	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000135953	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000135973	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000136002	2	2.02147595067252	0.0461515010810811	0.811386685607031	0.2085718	0.278795740559752	0.3902008	0.224131397056253	0.4113275	breastJHU
ENSG00000136068	3	2.9608579662565	0.00637786542105263	1.28922510613596	0.09865992	0.755214047341399	0.2250603	0.675946247300557	0.2495374	breastJHU
ENSG00000136152	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000136235	2	1.60132552521813	0.0918625782978723	0.545793767194442	0.2926039	-0.085942472491548	0.5342439	-0.148438686257959	0.5590017	breastJHU
ENSG00000136247	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000136450	-	-	-	-	-	-	-	-	-	breastJHU
ENSG00000136542	2	3.17610798798915	0.00393065500666667	1.61573205710119	0.05307613	1.24065109663355	0.1073673	1.21105808519715	0.1129366	breastJHU
ENSG00000137166	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000137491	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000137642	2	0.649459178578429	0.318494425	-0.0590634829529361	0.5235492	-1.09212695733771	0.8626113	-0.963477848464578	0.8323461	breastJHU
ENSG00000137699	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000137975	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000138029	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000138039	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000138162	-	-	-	-	-	-	-	-	-	breastJHU
ENSG00000138375	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000138757	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000138792	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000139269	2	0.137287534839669	0.488704752777778	-0.189223422488391	0.5750411	-1.41235510610096	0.92107729	-1.23297911134428	0.8912082	breastJHU
ENSG00000139618	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000139697	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000140465	2	-	-	-	-	-	-	-	-	breastJHU
ENSG00000140688	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000140853	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000140968	2	1.68056945526052	0.0852893002325581	0.549467488817635	0.2913423	-0.133417432591661	0.5530684	-0.132390203511744	0.5526622	breastJHU
ENSG00000141150	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000141161	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000141510	11	7.12962978149057	3.97524998e-11	3.50648363581352	0.0002270347	2.92647151865136	0.001714154	2.97386900469926	0.001470353	breastJHU
ENSG00000142319	2	-	-	-	-	-	-	-	-	breastJHU
ENSG00000142619	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000142733	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000143190	-	-	-	-	-	-	-	-	-	breastJHU
ENSG00000143337	-	-	-	-	-	-	-	-	-	breastJHU
ENSG00000143344	2	2.72508360176369	0.0110402843478261	1.44266815681069	0.07455699	0.987610229509734	0.1616718	0.912420521710779	0.1807737	breastJHU
ENSG00000144668	2	3.37441382784371	0.00265630605454545	1.68366854414561	0.04612287	1.35505289711362	0.08770035	1.29155728521616	0.09825525	breastJHU
ENSG00000144857	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000144909	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000145331	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000145362	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000145780	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000145808	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000146950	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000147224	2	3.39259845141566	0.0030385612	1.34130647828629	0.08991048	1.03291071707352	0.1508228	1.01345737904123	0.1554209	breastJHU
ENSG00000147381	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000147576	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000148180	3	1.95009025407943	0.0518213261538462	0.626510139961165	0.2654902	-0.00794766185756275	0.5031706	-0.0918744788293517	0.5366011	breastJHU
ENSG00000148482	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000148513	-	-	-	-	-	-	-	-	-	breastJHU
ENSG00000148798	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000148848	2	-	-	-	-	-	-	-	-	breastJHU
ENSG00000149100	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000149742	2	-1.13640837657252	0.8721072	-1.20152641344791	0.8852265	-2.59797300870712	0.995311207	-2.44797045430053	0.992816828	breastJHU
ENSG00000150394	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000150526	-	-	-	-	-	-	-	-	-	breastJHU
ENSG00000150593	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000151093	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000151240	2	1.89222036314398	0.0563227802439024	0.793535357383058	0.213733	0.133091552310527	0.4470605	0.0861920400084407	0.4656569	breastJHU
ENSG00000151320	2	1.53007147250736	0.10368671	0.838725388875572	0.2008117	0.219131677551396	0.4132737	0.0672329355145151	0.4731981	breastJHU
ENSG00000151617	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000151704	-	-	-	-	-	-	-	-	-	breastJHU
ENSG00000152104	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000152223	3	-1.03004711186967	0.859384383333333	-1.05454394889546	0.854183	-2.29923596050474	0.98925423	-2.21982801806308	0.98678478	breastJHU
ENSG00000152284	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000152455	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000152749	-	-	-	-	-	-	-	-	-	breastJHU
ENSG00000152767	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000153294	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000153339	-	-	-	-	-	-	-	-	-	breastJHU
ENSG00000153933	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000154065	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000154358	4	-	-	-	-	-	-	-	-	breastJHU
ENSG00000155465	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000156650	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000156711	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000156831	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000156925	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000156976	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000157303	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000157500	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000157551	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000158077	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000158125	1	-	-	-	-	-	-	-	-	breastJHU
ENSG00000158158	2	2.24982878237384	0.0301925903125	0.928761297591669	0.1765064	0.336759798281097	0.368149	0.31843742928861	0.3750766	breastJHU
ENSG00000159267	1	-	-	-	-	-	-	-	-	breastJHU
